Class,Department
12 IPA 1,IPA
12 IPA 2,IPA
12 IPA 3,IPA
12 IPA 4,IPA
12 IPA 5,IPA
12 IPA 6,IPA
12 IPA 7,IPA
12 IPS 1,IPS
12 IPS 2,IPS
12 IPS 3,IPS
12 AGAMA,AGAMA
